agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
AW,Arriva Trains Wales,http://www.arrivatrainswales.co.uk/,Europe/London,en,0845 6061660
CC,c2c,http://www.c2c-online.co.uk/,Europe/London,en,0845 6014873
CH,Chiltern Railways,http://www.chilternrailways.co.uk/,Europe/London,en,08456 005 165
XC,CrossCountry,http://www.crosscountrytrains.co.uk/,Europe/London,en,08447 369 123
GR,East Coast,http://www.eastcoast.co.uk/,Europe/London,en,08457 225 225
EM,East Midlands Trains,http://www.eastmidlandstrains.co.uk/,Europe/London,en,08457 125 678
GW,First Great Western,http://www.firstgreatwestern.co.uk/,Europe/London,en,08457 000 125
HT,First Hull Trains,http://www.hulltrains.co.uk/,Europe/London,en,08456 769 905
TP,First TransPennine Express,http://www.tpexpress.co.uk/,Europe/London,en,0845 600 1671
GX,Gatwick Express,http://www.gatwickexpress.com/,Europe/London,en,0845 850 15 30
GC,Grand Central,http://www.grandcentralrail.co.uk/,Europe/London,en,0845 6034852
GN,Great Northern,http://www.greatnorthernrail.com/,Europe/London,en,0345 026 4700
LE,Abellio Greater Anglia,http://www.abelliogreateranglia.co.uk/,Europe/London,en,0845 600 7245
HC,Heathrow Connect,http://www.heathrowconnect.com/,Europe/London,en,0845 678 6975
HX,Heathrow Express,http://www.heathrowexpress.com/,Europe/London,en,020 8750 6600
IL,Island Line,http://www.southwesttrains.co.uk/,Europe/London,en,01983 812 591
LM,London Midland,http://www.londonmidland.com/,Europe/London,en,0121 634 2040
LO,London Overground,http://www.tfl.gov.uk/overground,Europe/London,en,0845 601 4867
LT,London Underground,http://tube.tfl.gov.uk/,Europe/London,en,020 7222 5600
ME,Merseyrail,http://www.merseyrail.org/,Europe/London,en,0151 702 2071
NT,Northern Rail,http://www.northernrail.org/,Europe/London,en,0845 00 00 125
SR,ScotRail,http://www.scotrail.co.uk/,Europe/London,en,08700 005151
SW,South West Trains,http://www.southwesttrains.co.uk/,Europe/London,en,08700 00 5151
SE,Southeastern,http://www.southeasternrailway.co.uk/,Europe/London,en,0845 000 2222
SN,Southern,http://www.southernrailway.com/,Europe/London,en,08451 27 29 20
TL,Thameslink,http://www.thameslinkrailway.com/,Europe/London,en,0345 026 4700
VT,Virgin Trains,http://www.virgintrains.co.uk/,Europe/London,en,0845 000 8000
TW,Nexus (Tyne & Wear Metro),http://www.nexus.org.uk/metro,Europe/London,en,0191 20 20 747
CS,Serco Caledonian Sleeper,http://www.sleeper.scot/,Europe/London,en,0330 060 0500
XR,Crossrail,http://www.nationalrail.co.uk/,Europe/London,en,08457 48 49 50
