stop_id,stop_code,stop_name,stop_lat,stop_lon,valid,
ABHLJN,,Abbeyhill Junction,,,0,
BARKGLT,ZBK,Barking LT,,,1,
BREWRYS,,Brewery Junction,,,0,
BRLYJN,,Bradley Junction,,,0,
BRNSTLT,ZBC,Barons Court LT,,,1,
BSPSBUS,,Bishops Lydeard Lydeard Arms,,,,sotagjwt
CHNRBVH,,Chinnor Bledlow Village Hall,,,,"https://www.google.bg/maps/place/Village+Hall/@51.7196101,-0.8769755,18z/data=!4m5!3m4!1s0x4876f37678e13d77:0x5f5517ceb10b14ec!8m2!3d51.7201271!4d-0.8761563"
CHNRESW,,Chinnor Estover Way,,,,
CHNRRED,XCQ,Chinnor The Red Lion,,,1,
CHNRWHT,,Chinnor The Wheatsheaf,,,,
CIVI,CIC,Park Lane (Sunderland),,,1,
CMDNJN,,Camden Junction,,,,
CMDNRCJ,,Camden Road Central Junction,,,,
CMDNSTH,,Camden South Junction,,,,
CWLRSWJ,CWR,Cowlairs West Junction,,,1,
DGNHELT,ZDE,Dagenham East LT,,,1,
DLTNCGP,XGO,Darlington Catterick Garrison (Post Office),,,1,
DUNROD,,Dunrod,,,,
EPHT,ZEL,Elephant & Castle LT,,,1,
ESJLEDS,XES,Engine Shed Junction,,,1,
FRNB100,,Farnborough Signal BE5100,,,,
GNHLUJN,GUJ,Greenhill Upper Junction,,,,
HAMDLUL,ZHA,Hammersmith LT,,,,
HEMSWTH,,Hemsworth Loop,,,,
HETNLJN,,Heaton Lodge Junction,,,,
HORBRYJ,,Horbury Junction,,,,
KEITHLP,KHL,Keith Loop,,,,
KKERRAN,,Kilkerran,,,,
KNSGHST,ZHS,Kensington High Street LT,,,,
KSTPTC,,Kirkby Stephen Town Centre,,,,
LAUNWST,XAZ,Launceston Westgate Street Bus,,,,
LEAJ,,Lea Junction,,,,
LEWES58,,Lea Junction Loop Signal NL1286,,,,
LILBDGE,,Lillie Bridge Depot LUL,,,,
LNGSTCS,XML,Longsight Carriage Maintenance Depot,,,,
LRDDEAC,,London Road Depot,,,,
LTLPL22,,,,,,
MGMS127,,Margam Signal PT127,,,,
MINEBUT,,Minehead Butlins,,,,
MLLF,MIF,Millfield [Nexus],,,,
MRRYTNL,,Merryton Loop,,,,
NWBG,NBG,Newbridge Junction,,,,
NWCSRC,REG,Newcastle Regent Centre,,,,
PADTLUL,,Paddington Bakerloo LUL,,,,
PALL,PAI,Pallion (Nexus),,,,
PELAWTW,PAW,Pelaw Tyne & Wear Metro,,,,
PENCUPL,,Pencoed Up Passenger Loop,,,,
PRNCSTG,,Princes Street (Edinburgh) Gardens,,,,
RDNG691,,,,,,
ROTHHJN,,,,,,
SGOS,,,,,,
SKIRBYJ,,,,,,
STAN202,,,,,,
STHH,,,,,,
TEMPLHJ,,,,,,
THRNUPL,,,,,,
TISBRYL,,,,,,
TOWERHL,,,,,,
TRNHMGN,,,,,,
UNIV,,,,,,
UPMNLT,,,,,,
USAN,,,,,,
WATSTJN,,,,,,
WBORO,,,,,,
WLSDLDC,,,,,,
YATTONL,,,,,,
YORKECP,,,,,,
YOVILBS,,,,,,
