TIPLOC,NAME,EASTING,NORTHING
CRGICCE,CRAIGINCHES C.E.,394614,804153
CRGN860,CRAIGENTINNY SIG EP860,329050,674237
CRKLDER,CRICKLEWOOD DEPOT EXIT RD,523936,185984
CRKLSHN,CRICKLEWOOD RDP SHUNT NECK,522931,187116
CRSKEYS,CROSS KEYS,322157,191929
CRSKYJN,CROSS KEYS JCN,321917,192151
CSTL30,CASTLETON SIGNAL CE30,388258,410500
CUPRCP7,CUPAR CP7,337999,714565
DALSJN,DALSTON JUNCTION,533074,185051
DERB622,LEVINGTON SIGNAL CO622,623672,240664
DGNH821,DAGENHAM FORD MC SIG UR821,549972,182830
DGNH826,DAGENHAM FORD MC SIG UR826,549370,182922
DIDCMSF,DIDCOT MILTON SDG FL,450534,191274
DITTNRH,DITTON RECEPTION HEADSHUNT,348195,384662
DLTNUSF,DARLINGTON UP SDGS (FLHH),429566,514626
DLTNUSG,DARLINGTON UP S.S. (GBRF),429566,514626
DNNG605,DINNINGTON SIG WP605,451528,384333
DNNG606,DINNINGTON SIG WP606,451525,384336
DNSDFLT,DEANSIDE CPA FLT,252136,666331
DOEHAYF,Doe Hill Appleyard Fuels,442356,358188
DOLMLL,DOLLANDS MOOR LOCO LOOP,616831,137000
DONCBCJ,BLACK CARR JN (DONCASTER),460019,400488
DONCBDR,BELMONT DOWN RECEPTION,457410,401590
DONCBUY,BELMONT UP YARD,458156,401172
DONCHGB,HEXTHORPE YARD (GBRF),456242,402026
DONCLMD,DONCASTER UP DECOY LMD,458680,401045
DONCRFF,DONCASTER RAILPORT (FF),458453,401131
DONCUDA,Doncaster Up Decoy Advenza,458408,401147
DONCUDG,DONCASTER UP DECOY GBRF,458648,401058
DONNGTJ,DONNINGTON JUNCTION,366484,311454
DONNRFT,DONNINGTON RFT,366749,311458
DONNSUM,DONNINGTON SUMMERHOUSE DRV,367159,311463
DRBYDOC,DERBY NORTH DOC SIDINGS,436193,335781
DUNBSCE,Dunbar Down Sdgs CE,368089,678456
EARLFHH,EARLE SIDINGS (FLHH),417124,384391
ELGH105,EASTLEIGH SIG. E105,445890,120020
ELGH85,EASTLEIGH SIGNAL E85,445643,118508
ELLBNLL,ELL BOUNDARY NLL,531314,184624
ELYY259,ELY SIGNAL CA259,554007,278492
ERGNCHP,ENERGLYN & CHURCHILL PARK,314951,187930
EURODS,EUROTUNNEL DIESEL SHED,619373,136748
EUROHS,EUROTUNNEL DEPOT HEADSHUNT,619883,136651
EUST102,EUSTON SIG WM102,528864,183346
EUST104,EUSTON SIG WM104,528556,183775
EUST284,EUSTON SIG WM284,528894,183305
EUST286,EUSTON SIG WM286,528610,183699
EUST308,EUSTON SIG WM308,528598,183716
EUST310,EUSTON SIG WM310,528385,184013
EUST473,EUSTON SIG WM473,528926,183261
EUST488,EUSTON SIG WM488,528891,183309
EUST501,EUSTON SIG WM501,528891,183309
EUST510,EUSTON SIG WM510,528902,183294
EUST512,EUSTON SIG WM512,528611,183698
EUST610,EUSTON SIG WM610,528623,183681
EVESWJN,EVESHAM WEST JN,403331,244639
EXET335,EXETER ST DAVIDS SIG E335,291149,93191
EXET664,EXETER ST DAVIDS SIG 664,291103,93887
EXET677,EXETER ST DAVIDS SIG E677,291131,93065
EXET679,EXETER SIG 679,291119,92939
EXET681,EXETER SIG. 681,291736,91608
EXET730,EXETER SIG 730,292395,93326
EXETGBR,EXETER ALPHINGTON ROAD GBR,291865,91089
EXETOY,EXETER OLD YD-WAGGONERSWAY,291139,93637
FARE825,FAREHAM SIGNAL E825,456832,106566
FARN438,FARNHAM SIGNAL WK438,483791,146090
FARN445,FARNHAM SIGNAL WK445,483693,146043
FAV4327,FV EK4327 SIG FAVERSHAM,600696,160945
FAV4352,FV EK4352 SIG FAVERSHAM,602154,160694
FAV5060,FAVERSHAM SIGNAL EK5060,602143,160813
FAV5062,FAVERSHAM SIGNAL EK5062,602893,161191
FAVR21,FAVERSHAM SHUNT SIGNAL 21,603349,161422
FAVR35,FAVERSHAM SHUNT SIGNAL 35,601841,160816
FLKLDFT,FALKLAND FREIGHT TERMINAL,234184,623774
FLYLAFH,RUNCORN FOLLY LANE (FLHH),349915,381987
FNPK378,FINSBURY PARK SIGS K378/9,531285,186261
FNPK392,FINSBURY PARK SIG K392,531378,187259
FNPK68,FINSBURY PARK SIG K68,531377,187234
FRAT555,FRATTON SIGNAL 555,465785,100655
GANTRYA,GLASGOW CENTRAL GANTRY A,258746,664966
GIFFEN,GIFFEN,239132,651704
GLGCSD1,GLASGOW CENTRAL N0.1 SDG,258680,664704
GLGCSD3,GLASGOW CENTRAL NO 3 SDG,258675,664662
GLGCSD4,GLASGOW CENTRAL NO 4 SDG,258678,664684
GLGCSD5,GLASGOW CENTRAL NO 5 SDG,258680,664699
GLOS444,GLOUCESTER GROUND SIG 444,384432,218174
GLOS446,GLOUCESTER GROUND SIG 446,384167,218274
GLOS454,GLOUCESTER GROUND SIG 454,383911,218420
GOBOCHR,GOBOWEN CAMBRIAN RAILWAYS,330348,333361
GODSTGF,GODSTONE TIP GROUND FRAME,534944,148532
GOOLEGG,GOOLE GLASSWORKS GBRF,473707,423252
