stop_id,stop_code,stop_name,Easting,Northing
LY,LDRY,,243932,416219
BN,BELARNA,,266870,431503
CK,CASTRCK,,277353,435978
DV,DHUVARR,,285302,439608
CE,COLRAIN,,285370,432601
PH,PRSH,,285768,440418
BY,BALLYMY,,294987,425348
PD,PDOWN,Portadown,301113,354192
PS,PPASS,Poyntzpass,306049,339455
CY,CULYBAC,,306295.37,405721.47
SV,SCARVA,Scarva,306367,343842
NY,NEWRY,Newry,306933,327830
LU,LURGN,Lurgan,307838,358928
BA,BALLYMA,,310166,403192
AN,ANTRIM,,315325,386992
MR,MOIRA,Moira,315819,361885
LB,LBURN,Lisburn,326581,364591
LG,LAMBEG,Lambeg,327616,366385
HD,HILDEN,Hilden,327651,365560
DH,DERGHY,Derriaghy,328318,367752
DM,DUNMRY,Dunmurry,329249,369061
FY,FINGHY,Finaghy,330275,370254
BL,BALMRL,Balmoral,331456,370851
MW,MOSLYWS,,332106,385119
AD,ADLDE,Adelaide,332254,371972
CH,CITYHSP,City Hospital,333163,373131
GV,GVS,Great Victoria Street,333444,373777
BT,BOTNIC,Botanic,333670,373093
YG,YRKGATE,Yorkgate,334258,375834
CL,BFSTC,Belfast Central,334667,373887
WY,WHTABY,Whiteabbey,335239,382491
BE,BRGEND,Bridge End,335340,374643
JN,JDNSTWN,Jordanstown,335802,384164
SY,SYDNHM,Sydenham,336625,375090
GD,GRNLND,Greenisland,337168,385650
TE,TPRSLNE,Trooperslane,338702,386846
HW,HOLYWD,Holywood,339566,379167
LN,LARNET,Larne Town,340475,402569
CP,CPRSTWN,Clipperstown,340755,387682
MO,MARINO,Marino,340901,379815
GN,GLYNN,Glynn,340982,399919
CS,CRKFGUS,Carrickfergus,341200,387704
LR,LARNEHB,Larne Harbour,341523,402231
CT,CULTRA,Cultra,341713,380465
DP,DOWNSHR,Downshire,342459,388145
MM,MGRAMN,Magheramorne,343608,398706
SL,SEAHILL,Seahill,344061,381462
HB,HELNSBY,Helen's Bay,345785,382163
BC,BLYCRY,Ballycarry,346388.26,394526.09
WD,WHTEHED,Whitehead,347510,391838
CA,CARNLEA,Carnalea,348063,382183
BW,BANGORW,Bangor West,348922,381489
BR,BANGOR,Bangor,350263,381415
BG,BLCHGRN,Bleach Green Junction,,
CJ,CENTJ,Central Junction,,
YJ,CITYJ,City Junction,,
DQ,,Donegall Quay Loop,,
FW,FW,Fortwilliam Depot,,
KT,KLROOT,Kilroot,,
LJ,LAGANJ,Lagan Junction,,
MP,MMLOOP,Magheramorne Loop,,
WJ,WESTLKJ,Westlink Junction,,
RP,WDRPSI,Whitehead RPSI Siding,,
YRD,YRD,York Road Depot,,
CD,,,,
KN,,,,
MG,,,,
MN,,,,
TP,,,,
UV,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
